product_links,product_names,product_category,brand,ingredient,size,price,claims,image_path
https://www.beautypedia.com/products/easy-breezy-brow-powder-kit/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Easy Breezy Brow Powder Kit,Eyebrow,CoverGirl,"Talc,  Mica,  Zinc Stearate,  Ethylhexyl Palmitate,  Dimethicone,  Calcium Silicate,  Boron Nitride,  Methylparaben,  Sodium Dehydroacetate,  Propylparaben,  BHT. May Contain: Iron Oxides,  Titanium Dioxide,  Bismuth Oxychloride,  Ultramarines.",0.14 fl. oz.,10.99,CoverGirl's all-in-one Eyebrow Brow Powder Kit contains two shades of eyebrow powder to fill and define brows + one shade to highlight brow bones. Effortlessly frame your faces by enhancing your brows. ,images/makeup/Easy-Breezy-Brow-Powder-Kit_CoverGirl.jpg
https://www.beautypedia.com/products/sourcils-poudre-powder-eyebrow-pencil/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Sourcils Poudre Powder Eyebrow Pencil,Eyebrow,Dior,,,29.00,,images/makeup/Sourcils-Poudre-Powder-Eyebrow-Pencil_Dior.jpg
https://www.beautypedia.com/products/eyebrow-pencil-3/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Eyebrow Pencil,Eyebrow,Make Up For Ever,,,19.00,,images/makeup/Eyebrow-Pencil_Make-Up-For-Ever.jpg
https://www.beautypedia.com/products/brow-stylist-definer/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Brow Stylist Definer,Eyebrow,L'Oreal Paris,"Diisostearyl Malate,  Triethylhexanoin,  C20-40 Acid,  C20-40 Alcohols,  Synthetic Wax,  Polyethylene,  Glyceryl Behenate/Eicosadioate,  Ethylene/Propylene Copolymer,  Ethylcellulose,  Boron Nitride,  VP/Eicosene Copolymer,  Zinc,  Tocopherol,  Silica,  Helianthus Annuus Seed Oil / Sunflower Seed Oil,  Ascorbyl Palmitate,  Tin Oxide [+/- May Contain: CI 77491,  CI 77492,  CI 77499 / Iron Oxides Mica,  CI 77891 / Titanium Dioxide,  CI 77007 / Ultramarines,  CI 77163 / Bismuth Oxychloride,  CI 77000 / Aluminum Powder,  CI 77400 / Bronze Powder,  CI 77510 / Ferric Ferrocyanide,  CI 75470 / Carmine]",,8.99,LOral Paris Brow Stylist Definer makes the art of eyebrow shaping easy with a 0.5MM ultra-fine mechanical pencil tip for total precision. Our 1st high-defining brow pencil and eyebrow filler is the perfect tool to recreate tiny brow hair to mimic a naturally defined brow look.,images/makeup/Brow-Stylist-Definer_L'Oreal-Paris.jpg
https://www.beautypedia.com/products/brow-gel-3/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Brow Gel,Eyebrow,Three Custom Color Specialists,,,21.50,,images/makeup/Brow-Gel_Three-Custom-Color-Specialists.jpg
https://www.beautypedia.com/products/colorstay-brow-mousse/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,ColorStay Brow Mousse,Eyebrow,Revlon,"Isododecane,  Talc,  Synthetic,  Fluorphlogopite,  Hydrogenated Polycyclopentadiene,  Dimethicone,  Trimethylsiloxysilicae,  Cera Alba (Beeswax),  VP/Hexadecene Copolymer,  Oryza Sativa (Rice) Powder,  Disteardimonium Hectorite,  Octyldodecanol,  Nylon-12,  Dimethicone/Vinyl Dimethicone Crosspolymer,  Polyethylene,  Propylene Carbonate,  Cera Carnauba/Copernicia Cerifera (Carnauba) Wax,  Tocopherol,  Benzoic Acid. May Contain: Iron Oxides,  Titanium Dioxide.",0.07 fl. oz.,11.99,Tinted mousse gives medium to thick brows a clump free natural look that wears up to 24 hours. Use over pencil or powder for a fuller more defined look.,images/makeup/ColorStay-Brow-Mousse_Revlon.jpg
https://www.beautypedia.com/products/brow-tech-shaping-powder/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Brow Tech Shaping Powder,Eyebrow,Smashbox,"Mica,  Boron Nitride,  Dimethicone,  Silica,  Polyethylene,  Pentylene Glycol,  Tocopherol,  Glycerin,  Ethylhexylglycerin,  Dimethiconol,  Kaolin,  Pumice,  Copernicia Cerifera (Carnauba) WaxCera CarnaubaCire de Carnauba,  Caprylyl Glycol,  Caprylhydroxamic Acid. May Contain: Titanium Dioxide (CI 77891),  Iron Oxides (CI 77491),  Iron Oxides (CI 77492),  Iron Oxides (CI 77499),  Bismuth Oxychloride (CI 77163),  Blue 1 Lake (CI 42090),  Carmine (CI 75470),  Chromium Hydroxide Green (CI 77289),  Chromium Oxide Greens (CI 77288),  Ferric Ammonium Ferrocyanide (CI 77510),  Ferric Ferrocyanide (CI 77510),  Manganese Violet (CI 77742),  Ultramarines (CI 77007),  Yellow 5 Lake (CI 19140).",0.03 fl. oz.,25.00,Long-wearing formula for all-day endurance. Buildable coverage to take your brows from understated to exaggerated in a flash. Unique precision applicator mimics natural hair growth.,images/makeup/Brow-Tech-Shaping-Powder_Smashbox.jpg
https://www.beautypedia.com/products/push-up-bra-for-eyebrow/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,Push-up Bra for Eyebrow,Eyebrow,NYX Cosmetics,,,10.00,,images/makeup/Push-up-Bra-for-Eyebrow_NYX-Cosmetics.jpg
https://www.beautypedia.com/products/purebrow-brow-gel/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,PureBrow Brow Gel,Eyebrow,Jane Iredale,,,16.50,,images/makeup/PureBrow-Brow-Gel_Jane-Iredale.jpg
https://www.beautypedia.com/products/browperfection-total-shaping-studio/?archive_search=%2Fmakeup%2Feyes%2Feyebrow-pencil-reviews%2F%3Fsize%3D96%26makeup_group%5B0%5D%3Deyebrow-pencil-reviews%26p%3D2 ,BrowPerfection Total Shaping Studio,Eyebrow,Prestige Cosmetics,,,8.95,,images/makeup/BrowPerfection-Total-Shaping-Studio_Prestige-Cosmetics.jpg
